2019 Median Household Income,2019 Unemployed Population 16+: Percent,2014-2018 ACS HHs: Inc Below Poverty Level: Percent,2019 Total Daytime Population,2014-2018 ACS Average Number of Vehicles,2019 Total Households,Housing_Density,Daytime_Pop_Density,Shape_Area_sqmi,Developed_Open_Space_Sq_Meters,Developed_Low_Intensity_Sq_Meters,Developed_Medium_Intensity_Sq_Meters,Developed_High_Intensity_Sq_Meters,Square_Meters_Residential,Square_Meters_Com_Ind_MU,Square_Meters_Other,Undeveloped_Sq_Meters,Building_Count_Com_Ind_MU,Building_Count_Other,Building_Count_Residential,Median Contract Rent,Median Gross Rent
20346,11.69,39.86,2966,1,925,1191.745581,3821.316102,0.776172376,17640,20730,17280,9870,75273.2447,104718.0369,5786.268984,1560,161,13,424,466,541
19491,11.65,39.85,3983,1,1056,1360.522546,5131.592142,0.776172363,5100,26760,21270,13620,96172.32557,137082.3075,10775.95292,210,199,19,592,460,541
20295,11.49,39.83,3239,1,925,1191.745585,4173.042109,0.776172374,14640,21150,18960,11220,73278.93215,108141.3476,6148.892677,900,169,15,424,467,550
24924,15.3,39.82,3839,1,1051,1354.080664,4946.066289,0.776172371,4470,32790,18270,11250,139703.6372,143168.8866,13495.41798,60,174,13,1007,515,724
19713,13.49,39.82,2147,1,997,1284.508495,2766.138154,0.776172368,18960,26880,6090,1290,131698.6297,34867.05002,2447.583313,13680,74,13,758,468,638
15708,19.17,39.8,1358,1,550,708.6054899,1749.611373,0.776172366,14700,14910,4650,6000,59882.26631,27462.63225,401.5838194,20520,17,3,341,454,628
20373,11.72,39.79,2963,1,923,1189.168851,3817.451034,0.776172366,18060,20550,16890,9960,77032.3875,96880.07298,5786.268984,1710,153,13,430,466,542
27781,11.65,39.73,2783,1,1087,1400.462116,3585.543761,0.77617237,12630,35880,11550,3930,167007.8104,93467.31259,10900.51424,3060,93,14,1151,545,779
19797,13.49,39.72,1984,1,988,1272.913126,2556.13324,0.776172372,17700,27330,6960,900,138364.0979,33640.85617,2639.656605,13950,80,15,795,471,638
26642,16.14,39.68,2234,1,762,981.7407106,2878.226703,0.776172356,7770,31740,16410,10590,122430.3731,133474.8225,1880.988847,690,161,10,867,529,772
20378,13.84,39.62,3691,1,1256,1618.197245,4755.386969,0.776172375,14100,26490,15210,8010,106638.9859,123874.1235,3093.061787,3150,166,9,696,413,464
15860,19.2,39.61,1109,1,430,554.000654,1428.806338,0.776172369,12780,13440,6360,4350,38581.7798,37686.89427,539.0162957,24150,24,2,172,452,630
27820,12.03,39.57,2268,1,575,740.8148281,2922.031357,0.776172369,5100,25800,21840,13410,88392.52332,161593.3817,61829.54577,990,181,12,612,549,797
15775,19.15,39.53,1341,1,535,689.2798906,1727.709034,0.776172361,13980,12690,4710,6330,49557.95175,42662.94847,210.0504002,23550,19,2,263,456,631
19668,11.64,39.51,4004,1,1062,1368.252772,5158.647927,0.776172372,5010,27000,21330,13620,97470.66202,136205.9193,10529.18332,210,201,18,603,462,545
19814,13.2,39.5,1860,0,827,1065.48498,2396.374924,0.776172368,20070,25410,5820,1620,119652.5002,41107.67984,2290.658205,13950,81,12,707,466,639
16729,18.79,39.47,1112,1,414,533.3866783,1432.671464,0.776172366,13260,14730,9180,6300,38122.33583,31606.11631,45813.81708,20640,30,4,175,473,648
