Percent unemployed,Vehicles per household,Median Income,Household Density,Day population density,Percent below poverty level,Residential Area,Commerical/Industrial/MU Area,Other Area,Undeveloped Area,Developed Open Space Area,Developed Low Intensity Area,Developed Medium Intensity Area,Developed High Intensity Area,Building Count Commercial/Industrial/MU,Building Count Other,Building Count Residential,Median Contract Rent,Median Gross Rent,Net Passengers
15.45,1,25017,1284.508493,4954.9,40.52,142062.6575,145524.0843,13436.38392,1650,137580,987810,553950,329070,172,13,1012,519,736,0
15.69,1,24147,1299.968975,4877.6,40.49,140128.5899,152170.6539,13359.2852,1650,135150,975390,556410,341730,179,13,1007,514,722,0
14.55,1,26707,1127.326911,3781.2,40.47,130578.0124,129919.7128,11037.94502,0,137460,968130,584940,319560,181,14,908,536,775,0
15.47,1,18612,1538.318101,6164.6,40.45,106878.3942,174694.4292,5831.807232,6480,92460,888000,642390,381000,209,11,793,449,485,0
15.56,1,18701,1616.908871,5841.3,40.43,114931.0587,161622.006,6469.586828,3120,97170,942900,598800,368370,205,12,846,447,484,0
19.71,1,15402,689.2798878,1710.9,40.43,59058.53988,27423.71291,1560.24569,603630,480090,459240,153450,182580,21,6,362,448,621,0
15.46,1,18548,1516.415743,6145.3,40.41,107769.0907,174450.3027,5831.807232,8010,86940,856050,643950,415290,213,11,756,449,485,0
12.7,1,27803,724.0659719,2866.5,40.4,86803.24296,154157.4482,39878.98045,22230,142290,772140,659880,414060,178,11,597,548,796,0
15.46,1,26593,1044.870998,3353.5,40.39,123486.8357,122278.7784,1849.582901,360,184800,950700,553470,321240,160,9,868,532,774,0
15.16,1,25278,1337.331818,4245,40.39,151175.3241,142288.5564,11411.19998,300,135750,1026420,532620,315300,167,11,1071,522,741,0
14.21,1,26805,1162.112994,3840.5,40.38,135179.6958,143104.6361,11129.05333,0,135300,980970,579030,315060,179,14,938,538,777,0
19.64,1,15481,390.377209,803.9,40.38,44593.4712,17694.22701,1810.060112,736830,459660,349710,115350,141210,14,8,317,447,622,0
19.64,1,15481,390.3772075,803.9,40.38,45644.19177,17694.22701,1810.060112,744510,488940,381000,127920,150630,14,8,322,447,622,0
14.08,1,19839,1680.03921,4717.9,40.35,113590.3086,134784.6857,3603.045856,97050,423660,837270,418800,233160,153,10,768,414,466,0
15.68,1,22631,1348.927188,4945.9,40.35,134890.9331,173318.1085,13597.8666,1650,123150,971430,567540,346170,194,14,978,503,692,0
13.48,1,18917,1338.62019,5335,40.34,90693.38962,151594.9095,12595.80734,8100,120030,772800,658410,451470,217,18,584,458,516,0
14.31,1,26093,1339.908548,4064.7,40.31,157783.6761,122947.1083,11129.05333,0,139920,1089270,533550,247560,153,14,1100,532,762,0
14.45,1,18908,1321.871336,5329.8,40.3,85715.03571,173121.003,12016.45081,8010,97380,752730,668760,483180,225,14,566,460,509,0
19.6,1,15468,336.2655162,722.8,40.22,42488.30555,17694.22701,1810.060112,700380,435300,298470,91350,128760,14,8,316,448,625,0
15.37,1,18740,1375.98303,6266.4,40.21,90327.36972,180176.7221,6013.023329,8010,78600,771900,677010,475110,227,12,631,451,487,0
13.55,1,19106,1359.234163,5337.5,40.19,90597.53047,156736.2534,12067.15061,8010,113040,775890,659550,453870,218,15,591,459,518,0
15.43,1,18725,1450.708693,6265.1,40.18,101713.0189,174356.8333,5831.807232,8010,83040,824460,654720,440100,215,11,709,451,487,0
12.46,1,27787,717.6241112,2839.5,40.14,89986.43659,145130.1414,40058.08814,22500,143190,778770,663060,402930,179,13,620,549,796,0
14.91,1,18890,1435.248197,6108,40.12,87130.81311,174817.6385,6013.023329,8010,83280,749010,682590,487710,226,12,587,457,498,0
15.65,1,18777,1582.12281,5711.2,40.1,110098.9379,175379.6,6469.586828,3960,96060,907320,637890,364830,211,12,817,452,488,0
15.32,1,18811,1409.480735,6249.7,40.09,94688.24596,182666.0466,5831.807232,8010,78510,793110,670950,459600,222,11,662,452,488,0
13.43,0,19607,1129.903654,2483.9,40.09,120591.866,39794.82959,2460.56038,423360,604530,765420,168750,48330,77,13,706,465,632,0
15.53,1,20548,1734.150866,5945.6,40.07,133888.2999,171358.8194,7363.560534,1650,118590,1002840,568650,318720,196,15,981,472,598,0
13.52,1,19566,1261.31776,2736.4,40.06,127473.7816,35581.6084,2333.389027,407460,584250,793620,181680,43440,77,12,735,466,630,0
13.89,1,19080,1370.829515,5505,40.05,87534.99649,172599.6082,12016.45081,8010,102180,758640,668610,472770,226,14,574,460,513,0
15.51,1,19820,1745.746238,5963.7,40.01,126024.1724,162906.7213,6499.668708,1650,117870,981540,577110,331830,206,12,925,464,526,0
15.56,1,20877,1643.964752,5307.9,40,135170.8338,169767.8735,7363.560534,1650,116430,1006950,563340,322530,194,15,990,478,624,0
14.76,1,18980,1382.42487,6026.8,39.96,86873.23064,177933.5019,6013.023329,8010,87360,743280,681780,489960,229,12,581,459,503,0
15.58,1,19779,1714.825302,5908.3,39.94,124572.4007,162576.2105,6357.419566,2010,115890,972120,586170,334830,207,11,916,462,520,0
14.01,1,20315,1551.201813,4730.7,39.86,118207.5138,132671.198,5281.213668,97050,420060,852930,405030,234780,148,11,805,430,479,0
11.69,1,20346,1191.745594,3821.2,39.86,75273.24484,104718.0359,5786.268984,46500,529020,621750,514020,298980,160,13,423,466,541,0
11.65,1,19491,1360.522522,5131.4,39.85,96172.32557,137082.3059,10775.95351,6360,152130,802620,639060,409740,197,18,592,460,541,0
11.49,1,20295,1191.745597,4172.9,39.83,73278.93215,108141.3466,6148.892677,27090,441300,635190,568980,336930,168,15,424,467,550,0
