Percent Unemployed,Vehicles per Household,Percent below poverty level,Median income,Household Density,Daytime Population Density,Undeveloped area,Developed open area,Developed low intensity,Developed medium intensity,Developed high intensity,Residential area,Commercial/Industrial area,Other area,Net Passengers
0,0,0,0,0,547.1364459,0,0,660,6720,6810,0,1864.213952,0,464
0,0,0,0,0,0,0,0,270,660,0,0,0,0,464
0,0,0,0,0,0,0,0,0,30,510,0,0,0,435
0,0,0,0,0,0,200910,960,660,2040,300,0,0,0,464
0,0,0,0,0,0,1680,10200,4650,10500,7680,0,8403.648236,0,464
0,0,0,0,0,0,0,300,2970,2790,90,0,0,0,464
0,1.4,37.5,18750,2667.702607,2667.702607,0,0,5820,1950,0,1053.179348,121.8340613,0,464
0,0,0,0,0,4615.689356,210,0,12480,34380,23130,0,13569.4353,0,465
0,0,0,0,0,0,0,0,1020,4110,750,0,0,0,464
0,0,0,0,0,1788.042757,0,0,0,180,5580,0,324.4882659,0,464
0,0,0,0,0,0,7800,7920,11220,10200,810,0,0,0,464
0,0,0,0,0,2199.623477,240,2640,10590,18870,6420,0,1217.869011,124.5629299,464
22.86,0.9,41.03,18183,9146.044741,12448.78312,0,0,2880,7410,0,0,0,1901.592084,465
23.08,0.9,38.46,17157,3337.07577,4363.868314,0,0,6420,2970,750,2192.752359,0,0,464
0,0,0,0,0,3116.100381,60,30,2790,3600,930,0,254.1123989,0,464
0,1.4,0,105516,920.8600077,767.3833397,14460,11370,7980,0,0,2209.853863,353.8453435,0,464
4.88,2.1,3.03,81846,2067.550185,2756.73358,1080,11340,24780,420,0,4882.851669,0,0,464
0,0,2.33,95991,713.0768442,1235.999863,157680,79380,136680,7590,150,26301.53353,2153.605266,197.1091854,464
0,1.5,0,0,3805.185946,1902.592973,0,0,1350,60,0,0,0,0,464
0,0,0,0,0,0,0,0,690,540,0,0,0,0,463
0,0,0,0,0,0,0,0,1650,1080,0,0,0,0,464
0,0,0,0,0,0,0,0,2370,2760,780,0,0,0,462
0,0,0,0,0,0,7800,480,1170,0,0,0,0,0,464
0,0,0,0,2.24641353,0,1040400,55470,17670,33000,6420,203.2380716,212.1939971,0,464
0,0,0,0,0,0,0,0,60,2670,240,0,0,0,459
0,2,0,125000,462.2327642,308.1551761,2880,12360,1560,0,0,1500.033648,0,0,464
4.55,2,20.83,30999,3537.903123,3668.936572,0,8070,11670,0,0,2465.338337,0,0,464
8,1.5,5.88,43056,1569.160422,2824.48876,0,6870,23340,2820,0,2649.289096,2811.186979,0,464
0,0,0,0,0,5774.643873,51330,82770,110730,180270,119340,0,57044.26095,1049.938739,465
0,0,0,0,0,0,0,0,1260,0,0,0,0,0,464
2.78,2.1,9.09,38678,2250.56564,2510.24629,0,12450,17430,0,0,3993.613349,0,0,464
0,0,0,0,0,0,26130,33060,17010,2040,0,0,0,0,464
0,1.5,50,30000,345.7799616,3852.976715,0,0,16530,17460,18480,516.6921018,7205.21401,0,456
4.55,1.6,30.19,36380,986.6699832,1353.147406,114090,141120,75120,35310,1920,14574.81077,2502.698561,0,464
4.76,1.6,31.25,35000,1935.90229,2120.273936,0,12420,15720,0,0,2906.065207,0,74.86219755,464
7.14,1.6,37.5,35000,3671.622772,5874.596436,0,2220,4860,0,0,958.8122388,0,0,464
