2019 Unemployed Population 16+: Percent,2014-2018 ACS Average Number of Vehicles,2014-2018 ACS HHs: Inc Below Poverty Level: Percent,2019 Median Household Income,2019 Average Household Income,Household_Density,Total_Pop_Density,Day_Pop_Density,Undeveloped_Sq_Meters,Developed_Open_Space_Sq_Meters,Developed_Low_Intensity_Sq_Meters,Developed_Medium_Intensity_Sq_Meters,Developed_High_Intensity_Sq_Meters,Square_Meters_Residential,Square_Meters_Com_Ind_MU,Square_Meters_Other,Shape_Length,Shape_Area,Net_Passengers
0,1,33.33,28747,55883,2170.486217,7379.653137,4775.069677,0,0,5640,330,0,1011.35947,0,0,0.00320336,5.89E-07,0
0,0,0,44898,65538,1421.516924,2843.033848,1066.137693,1590,660,11190,1170,0,0,0,0,0.008496168,1.44E-06,0
0,1.5,12.5,35000,50905,514.6679161,1122.911817,608.2439008,13410,24210,15780,1800,0,1402.824193,0,0,0.021226847,5.47E-06,0
0,1.6,25.93,60354,124307,131.5451272,350.7870058,563.7648307,240840,76170,72180,20910,3480,6181.03974,1571.171111,306.6561016,0.032094137,4.08E-05,0
0,0,0,0,0,0,268.8137912,4877.050211,0,0,11730,75420,47640,0,28423.70201,0,0.014612113,1.33E-05,0
12.5,1.1,37.5,26674,36150,2698.419805,7195.786146,5097.015186,0,2970,4950,690,0,1053.210481,0,0,0.004171294,8.53E-07,2
0,1,0,0,94117,867.3682108,2602.104632,1734.736422,1110,900,1110,0,0,0,0,0,0.005269419,2.95E-07,0
0,1.5,50,7500,34784,1049.737505,2449.387511,4198.950019,0,0,1560,4140,1650,458.3809563,736.7047731,0,0.003963761,7.31E-07,4
0,0,0,0,0,0,0,0,0,480,0,0,0,0,0,0,0.001188716,4.98E-08,0
0,0,0,0,0,0,0,0,0,0,8310,17850,660,0,0,189.4220222,0.006481303,2.64E-06,0
0,0,0,0,0,68.78262514,0,0,28290,9480,0,0,0,0,0,0,0.010686718,3.72E-06,0
14.29,1.6,40,35000,60703,1337.0644,3342.660999,2339.862699,0,9900,5130,390,0,1512.237005,0,0,0.005588573,1.53E-06,0
0,0,0,0,0,0,0,0,10890,26880,1770,0,0,0,0,0,0.017607037,3.9E-06,0
0,0,0,0,0,0,0,3530.224097,8910,6360,15720,48570,12870,0,9084.582968,0,0.025155151,9.13E-06,5
0,1.5,5.71,86124,122363,2215.162235,3378.122409,2049.025068,0,2880,43650,120,0,8287.266196,0,0,0.008516765,4.62E-06,0
0,0,0,0,0,0,0,0,0,0,0,1320,0,0,0,0,0.002182506,1.34E-07,0
0,1.3,16.67,25000,39258,1119.273333,3171.274442,932.7277772,0,0,8910,5070,0,899.4174566,0,0,0.004838092,1.37E-06,0
5.26,1.3,40,18798,34633,1697.612542,3961.095932,1923.960881,0,1980,12030,6780,2040,3294.478378,1355.740125,0,0.007272287,2.26E-06,0
0,1.7,0,85714,105451,1717.596016,3005.793029,644.0985061,0,5640,6450,0,0,1035.564418,0,0,0.004293435,1.19E-06,0
0,2,0,0,48768,424.8363298,1699.345319,2124.181649,0,0,3900,2220,0,0,0,0,0.006703927,6.03E-07,0
8.33,1.7,28.57,41302,47333,2705.415588,6763.538969,3787.581823,0,0,7500,2040,0,1272.479888,0,0,0.004079381,9.46E-07,0
0,1.5,0,85912,117832,3019.850926,5033.084876,3019.850926,0,0,6900,840,0,1699.605629,0,0,0.004199471,7.63E-07,1
