OBJECTID,STATEFP10,COUNTYFP10,MPOCE10,TADCE10,TAZCE10,GEOID10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,aggregationMethod,HasData,ORIGINAL_OID,sourceCountry,householdincome_avghinc_cy,householdtotals_tothh_cy,vehiclesavailable_acsaggveh,populationtotals_dpop_cy,populationtotals_dpopwrk_cy,populationtotals_dpopres_cy,populationtotals_dpopdenscy,industry_unemprt_cy,vehiclesavailable_acsavgveh,Shape_Area_sqmi,Shape_Area_sqmi1,aggregationMethod_1,HasData_1,ORIGINAL_OID_1,sourceCountry_1,atrisk_acshhbpov,atrisk_acshhbpov_p,aggregationMethod_12,HasData_12,ORIGINAL_OID_12,sourceCountry_12,populationtotals_totpop_cy,total_population_density,aggregationMethod_12_13,HasData_12_13,ORIGINAL_OID_12_13,sourceCountry_12_13,householdincome_medhinc_cy,householdincome_medhinc_cy_i,Shape_Length,Shape_Area
51,47,065,47197703,00000110,00002320,4706500002320,G6320,S,1877985,0,+35.1801566,-085.2056209,,,,,96845,589,1185,1062,239,823,1464.6,4.9,2,0.725090065,0.725090065,BlockApportionment:US.BlockGroups,1,51,US,22,3.72,BlockApportionment:US.BlockGroups,1,51,US,1610,8663575.768,BlockApportionment:US.BlockGroups,1,51,US,81212,134,0.064541878,0.000185836
52,47,065,47197703,00000110,00001910,4706500001910,G6320,S,4164098,0,+35.1409407,-085.2112368,,,,,78827,549,694,1190,532,658,740.1,2.8,1.4,1.607760096,1.607760096,BlockApportionment:US.BlockGroups,1,52,US,23,4.8,BlockApportionment:US.BlockGroups,1,52,US,1215,2950012.891,BlockApportionment:US.BlockGroups,1,52,US,50720,84,0.116416831,0.000411863
53,47,065,47197703,00000080,00000700,4706500000700,G6320,S,959784,0,+35.0822537,-085.2999918,,,,,75397,362,471,417,193,224,1125.2,0.4,1.7,0.370573367,0.370573367,BlockApportionment:US.BlockGroups,1,53,US,63,22.83,BlockApportionment:US.BlockGroups,1,53,US,774,8159110.139,BlockApportionment:US.BlockGroups,1,53,US,54085,89,0.061467809,9.48633E-05
54,47,065,47197703,00000080,00000790,4706500000790,G6320,S,2139153,0,+35.1115304,-085.2999315,,,,,53753,936,1490,1483,455,1028,1795.6,1.4,1.5,0.825929523,0.825929523,BlockApportionment:US.BlockGroups,1,54,US,160,16.51,BlockApportionment:US.BlockGroups,1,54,US,2088,9872119.354,BlockApportionment:US.BlockGroups,1,54,US,39659,66,0.066138859,0.000211505
55,47,065,47197703,00000080,00000800,4706500000800,G6320,S,1746824,0,+35.1192622,-085.3088011,,,,,85342,402,783,1165,675,490,1727.2,2.3,2,0.674450917,0.674450917,BlockApportionment:US.BlockGroups,1,55,US,25,6.36,BlockApportionment:US.BlockGroups,1,55,US,940,5442017.424,BlockApportionment:US.BlockGroups,1,55,US,51769,86,0.067517937,0.00017273
56,47,065,47197703,00000030,00001300,4706500001300,G6320,S,796099,0,+35.0181194,-085.2326032,,,,,54809,449,0,866,390,476,2817.2,5.3,0,0.30737409,0.30737409,BlockApportionment:US.BlockGroups,1,56,US,100,22.78,BlockApportionment:US.BlockGroups,1,56,US,1006,12795040.3,BlockApportionment:US.BlockGroups,1,56,US,38451,64,0.041168115,7.86242E-05
57,47,065,47197703,00000030,00001340,4706500001340,G6320,S,3070048,0,+35.0353630,-085.2150755,,,,,49952,447,901,975,491,484,822.6,2.9,1.9,1.185348052,1.185348052,BlockApportionment:US.BlockGroups,1,57,US,45,9.7,BlockApportionment:US.BlockGroups,1,57,US,1047,3452405.13,BlockApportionment:US.BlockGroups,1,57,US,38788,64,0.118223849,0.000303267
58,47,065,47197703,00000030,00001310,4706500001310,G6320,S,565595,0,+35.0228778,-085.2294094,,,,,38538,391,0,520,2,518,2381,7.4,0,0.218376316,0.218376316,BlockApportionment:US.BlockGroups,1,58,US,117,31.45,BlockApportionment:US.BlockGroups,1,58,US,942,16862869.58,BlockApportionment:US.BlockGroups,1,58,US,33711,56,0.034022557,5.58624E-05
59,47,065,47197703,00000100,00001840,4706500001840,G6320,S,1502935,0,+35.1394479,-085.2702273,,,,,73252,621,0,797,140,657,1373.4,3.7,0,0.580284188,0.580284188,BlockApportionment:US.BlockGroups,1,59,US,98,20.5,BlockApportionment:US.BlockGroups,1,59,US,1376,9256661.92,BlockApportionment:US.BlockGroups,1,59,US,59959,99,0.060927972,0.00014865
60,47,065,47197703,00000100,00001820,4706500001820,G6320,S,4230801,0,+35.1736559,-085.2661438,,,,,61014,520,667,763,90,673,467.1,3.1,1.7,1.633515252,1.633515252,BlockApportionment:US.BlockGroups,1,60,US,59,15.28,BlockApportionment:US.BlockGroups,1,60,US,1196,2856967.81,BlockApportionment:US.BlockGroups,1,60,US,42279,70,0.118773052,0.000418626
