No,TAZCE10,2019 Average Household Income,2019 Total Households,ACS Aggregate Number of Vehicles,2019 Total Daytime Population,2019 Daytime Pop: Workers,2019 Daytime Pop: Residents,2019 Daytime Pop Density,2019 Unemployment Rate,ACS Average Number of Vehicles,Shape_Area_sqmi,ACS HHs: Inc Below Poverty Level,ACS HHs: Inc Below Poverty Level: Percent,2019 Total Population,total_population_density,2019 Median Household Income,2019 Median Household Income: Index,SUM_PASSENGERS_ON,SUM_PASSENGERS_OFF,Net_Passengers
128,680,184723,303,722,593,348,245,641.4,0,2.2,0.924484231,8,2.4,697,2945515.903,120883,200,21,25,4
129,420,120275,471,656,694,150,544,1317.4,0.2,1.5,0.526783137,20,4.65,942,6987303.88,81261,134,4,10,6
130,410,122582,93,129,603,528,75,5562.7,0,1.5,0.10844207,4,4.71,127,4576133.034,84385,139,301,234,67
131,400,67416,380,558,1919,1614,305,6013.8,2,1.5,0.31912387,54,14.29,687,8411387.082,45873,76,46,102,56
132,650,65533,731,782,1399,703,696,1579.4,4,1.6,0.885785209,63,13.02,1700,7498094.083,47485,78,0,0,0
133,310,68340,176,298,1648,1304,344,15287.6,6.4,1.9,0.107819865,39,24.22,767,27801454.86,35430,59,588,712,124
134,330,58944,337,301,1783,400,1383,16194.4,6.6,1.3,0.110146131,76,33.19,2377,84341570.64,24352,40,734,753,19
135,210,80667,1,0,69,69,0,997.1,0,0,0.069226469,0,0,2,112924.3243,0,0,0,2,2
136,390,0,0,0,44,44,0,1271.7,0,0,0.034590401,0,0,0,0,0,0,0,0,0
137,110,0,0,0,383,383,0,2398.2,0,0,0.159747764,0,0,0,0,0,0,0,0,0
138,120,0,0,0,3080,3079,1,18554.2,0,0,0.166041491,0,0,1,23535.42617,0,0,1,14,13
139,90,68792,14,12,327,314,13,8054.2,0,0.9,0.040628716,4,28.57,22,2115983.033,31872,53,1153,966,187
140,10,68794,81,91,1872,1800,72,54104,3.8,0.9,0.034618316,31,30.39,121,13659504.93,33106,55,404,311,93
141,40,0,0,0,613,613,0,25974.6,0,0,0.023636403,0,0,0,0,0,0,527,142,385
142,350,58943,77,30,2445,2349,96,7227.3,6.8,1.3,0.338315229,8,34.78,163,1883114.097,24439,40,1937,1674,263
143,600,35932,483,487,1150,345,805,1943.2,10.7,1.1,0.591755915,202,46.12,1242,8201190.117,29581,49,128,129,1
144,560,41784,647,586,1305,108,1197,3240.6,11.9,1,0.402660942,140,24.39,1780,17277208.77,30750,51,195,314,119
145,550,22733,490,466,6018,5081,937,17057.8,16.2,0.8,0.352794834,307,54.24,1268,14046531.79,14759,24,142,166,24
146,540,36321,254,296,2689,2471,218,14078.5,3,1.3,0.190990013,34,15.11,626,12810967.4,26523,44,247,348,101
147,340,58710,258,260,774,392,382,5750.4,6.6,1.3,0.134607689,66,33.5,647,18785837.37,24829,41,365,313,52
148,230,80645,147,197,764,635,129,5959.4,1.7,1.7,0.128206297,19,16.24,405,12347732.76,56755,94,95,182,87
149,70,68794,389,233,1032,689,343,7334.8,4.7,0.9,0.14070338,81,30.92,585,16246818.23,32906,54,512,878,366
150,280,65220,82,117,95,9,86,407,8.2,1.6,0.233422959,15,20.27,135,2260023.875,31424,52,9,19,10
151,270,67049,33,40,307,282,25,14619,5.6,1.2,0.02103718,8,24.24,41,7616059.537,32455,54,148,81,67
152,260,65487,88,125,614,293,321,10477.8,7.5,1.5,0.058576227,16,19.75,539,35959257.29,30618,51,221,206,15
153,250,67486,89,116,725,382,343,13757.1,7,1.1,0.052731152,30,28.04,579,42910773.99,31453,52,274,379,105
154,60,68794,23,23,5385,5367,18,125524.5,7.1,0.9,0.042891433,8,32,32,2915535.611,35000,58,2802,2339,463
155,30,68794,48,31,2555,2441,114,71769.7,4.7,0.9,0.0355521,11,32.35,673,73978288.45,31923,53,4334,3620,714
156,300,68324,113,191,507,388,119,3292.2,6.5,1.8,0.153982983,25,24.04,235,5964189.239,34465,57,639,748,109
157,530,54117,409,623,1279,665,614,2457.3,6.8,1.5,0.52049095,98,24.02,1123,8434037.237,31943,53,180,219,39
158,1070,74946,314,454,393,36,357,1159.6,4.6,1.8,0.338933875,32,12.7,730,8420474.247,42241,70,0,0,0
159,1130,50722,699,922,1142,91,1051,1020.5,3.5,1.4,1.119099075,142,21.71,1779,6211755.9,33867,56,44,53,9
160,1650,59323,542,1131,785,242,543,1555.4,3.4,2,0.504668391,45,7.94,1249,9663540.657,55548,92,12,6,6
161,470,45546,674,918,1631,483,1148,4266.3,3.4,1.5,0.382288365,176,28.25,2098,21451593.95,31117,51,365,346,19
162,2990,31764,266,368,1118,614,504,3141.3,7,0.9,0.355887796,124,29.81,818,8985571.673,22604,37,167,223,56
163,1030,19895,437,359,1437,727,710,9689.8,17.5,0.8,0.148344929,236,54.25,1082,28516285.81,15357,25,304,218,86
164,980,29638,510,541,2460,1523,937,5603.6,15.3,1.1,0.43903996,228,46.34,1511,13456158.82,20281,33,135,168,33
165,970,39768,243,319,1015,602,413,4403.5,13.3,1.4,0.230511943,86,37.89,702,11906058.03,28926,48,293,203,90
166,460,51925,504,581,2217,1046,1171,4411.1,4.4,1.5,0.502647438,121,30.87,1935,15048945.65,29307,48,364,439,75
167,780,52678,658,1156,1301,538,763,1835,1.1,1.6,0.708986496,41,5.81,1562,8603196.801,46533,77,108,105,3
168,770,69129,769,1080,1166,431,735,1239.8,7.4,2.2,0.94049325,44,8.85,1683,6988268.461,53409,88,102,111,9
169,760,253246,414,0,967,265,702,558.9,2,0,1.730082187,18,5.45,1095,2472017.895,174931,289,66,84,18
170,850,135146,438,737,835,255,580,109.5,0,1.7,7.623801728,0,0,950,487245.053,108967,180,0,0,0
171,1920,154259,891,2559,1272,63,1209,399.8,3.2,2.7,3.181828465,20,2.09,2359,2894550.958,115761,191,0,0,0
172,1900,78828,370,462,3862,3475,387,3048.1,2.7,1.4,1.267018181,15,4.7,717,2209228.106,50742,84,300,225,75
173,1620,41602,499,445,1576,717,859,6515.1,10.1,1.4,0.241875582,51,15.6,1181,19064030.47,28081,46,76,135,59
174,1600,86821,400,653,584,112,472,348.1,3.1,1.5,1.677934803,19,4.45,914,2126907.067,55979,92,0,0,0
175,1590,116902,1138,937,875,111,764,670.3,2.4,1.9,1.305347166,15,2.99,2083,6231329.016,102516,169,0,0,0
176,1640,60635,897,1396,1089,50,1039,1579.2,3.7,1.7,0.689564175,197,23.65,2275,12880138.5,50583,84,0,0,0
177,990,35129,296,524,923,209,714,5185.4,16.4,1.3,0.1779711,193,47.19,1006,22102521.54,27250,45,90,87,3
