No,TAZCE10,2019 Average Household Income,2019 Total Households,ACS Aggregate Number of Vehicles,2019 Total Daytime Population,2019 Daytime Pop: Workers,2019 Daytime Pop: Residents,2019 Daytime Pop Density,2019 Unemployment Rate,ACS Average Number of Vehicles,Shape_Area_sqmi,ACS HHs: Inc Below Poverty Level,ACS HHs: Inc Below Poverty Level: Percent,2019 Total Population,total_population_density,2019 Median Household Income,2019 Median Household Income: Index,Undeveloped_Land_Cell,Developed_land_Cell,Undeveloped_Area_sqmi,Developed_Area_sqmi,Undev_by_total_per_sqmi,Dev_by_total_per_sqmi,SUM_PASSENGERS_ON,SUM_PASSENGERS_OFF,Net_Passengers
107,360,80646,224,215,574,411,163,2629.4,1.6,1.7,0.218304449,21,16.41,520,9310880.521,57201,94,0,628,0,0.21822372,0,0.9996301999,16,50,34
108,430,48221,3,4,1054,1030,24,3025.3,4.3,2,0.348387794,1,50,49,549799.3456,30000,50,15,986,0.00521235,0.34262514,0.01496134506,0.9834590818,132,161,29
109,140,13348,1799,0,3002,748,2254,12995.7,17,0,0.230962351,899,61.83,2950,49917885.43,10253,17,1,668,0.00034749,0.23212332,0.001504530927,1.005026659,435,606,171
110,1410,46014,761,1423,2791,1898,893,3508,0.8,1.7,0.795615109,194,22.53,1881,9244827.572,37389,62,371,1920,0.12891879,0.6671808,0.1620366287,0.8385723102,0,0,0
111,1430,43632,546,698,1710,1132,578,2924.6,0,1.1,0.584688889,135,22.09,1033,6908804.346,32316,53,393,1273,0.13656357,0.44235477,0.2335662137,0.7565643513,0,0,0
112,1440,65608,1268,2136,2463,1077,1386,922.8,1.8,1.9,2.668988229,116,10.31,2898,4245894.526,42712,71,3029,4650,1.05254721,1.6158285,0.3943618779,0.6054086273,0,0,0
113,590,30416,372,0,1921,1227,694,2459,18.8,0,0.781224154,131,30.97,926,4631469.245,19065,31,47,2200,0.01633203,0.764478,0.02090569002,0.9785642137,197,275,78
114,510,32991,781,854,1445,237,1208,3395.2,15.6,1.1,0.425555172,257,32.12,1895,17401923.21,24918,41,43,1179,0.01494207,0.40969071,0.03511194548,0.9627205518,252,346,94
115,150,68798,1,0,841,840,1,9449.4,0,0,0.08895274,0,0,1,43936.58022,0,0,0,253,0,0.08791497,0,0.9883334679,630,947,317
116,200,80645,242,382,608,483,125,7246.7,1.7,1.7,0.083913535,37,16.3,409,19050928.73,57044,94,0,243,0,0.08444007,0,1.006274733,108,178,70
117,190,0,0,0,284,284,0,2392.6,0,0,0.118714513,0,0,0,0,0,0,0,340,0,0.1181466,0,0.9952161451,26,73,47
118,220,80647,10,20,103,94,9,1627.2,0,1.7,0.063293421,2,16.67,28,1729189.524,60675,100,2,180,0.00069498,0.0625482,0.01098028814,0.9882259327,41,63,22
119,100,68798,6,7,432,427,5,6008.3,0,0.9,0.071904636,2,25,8,434752.4107,29226,48,108,94,0.03752892,0.03266406,0.5219262914,0.4542691795,1105,1075,30
120,80,68798,1,0,944,943,1,44319.2,0,0,0.021268019,0,0,1,183738.1404,0,0,0,61,0,0.02119689,0,0.9966555888,1724,1969,245
121,50,68798,4,3,2013,2009,4,92765,0,0.8,0.02165067,1,25,6,1082977.919,7500,12,0,62,0,0.02154438,0,0.9950906831,3326,2475,851
122,20,68794,118,0,1999,1902,97,60759.9,4.2,0,0.032899595,0,0,166,19718512.04,33199,55,0,94,0,0.03266406,0,0.9928407933,4809,4016,793
